,onehotencoder__estado_civil_casado (a),onehotencoder__estado_civil_divorciado (a),onehotencoder__estado_civil_solteiro (a),onehotencoder__escolaridade_fundamental,onehotencoder__escolaridade_medio,onehotencoder__escolaridade_superior,onehotencoder__inadimplencia_sim,onehotencoder__fez_emprestimo_sim,remainder__idade,remainder__saldo,remainder__tempo_ult_contato,remainder__numero_contatos
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,242.0,587.0,1.0
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,1289.0,250.0,4.0
2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,363.0,16.0,18.0
3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,1382.0,700.0,1.0
4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,3357.0,239.0,4.0
5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,24.0,174.0,487.0,1.0
6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,4446.0,429.0,1.0
7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,946.0,1065.0,1.0
8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,879.0,102.0,2.0
9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,-94.0,41.0,2.0
10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,5086.0,213.0,4.0
11,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,7685.0,493.0,3.0
12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,139.0,732.0,2.0
13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,1116.0,53.0,5.0
14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,38.0,0.0,71.0,1.0
15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,2411.0,130.0,1.0
16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,559.0,1231.0,2.0
17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,793.0,2.0
18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,70.0,611.0,2.0
19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,8304.0,712.0,1.0
20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,157.0,299.0,5.0
21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,-46.0,23.0,1.0
22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,10888.0,163.0,1.0
23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,624.0,336.0,2.0
24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,719.0,230.0,1.0
